car_id,transmission_type,engine_size_cm3,fuel_type,powertrain,CO2_emission
118,Automatic,2143,Diesel,Internal Combustion Engine (ICE),162
119,Automatic,2143,Diesel,Internal Combustion Engine (ICE),188
120,Automatic,2143,Diesel,Internal Combustion Engine (ICE),162
121,Automatic,2143,Diesel,Internal Combustion Engine (ICE),188
122,Automatic,2143,Diesel,Internal Combustion Engine (ICE),162
123,Automatic,2143,Diesel,Internal Combustion Engine (ICE),188
124,Automatic,2143,Diesel,Internal Combustion Engine (ICE),162
125,Automatic,2143,Diesel,Internal Combustion Engine (ICE),182
126,Automatic,2891,Petrol,Internal Combustion Engine (ICE),261
127,Automatic,1995,Petrol,Internal Combustion Engine (ICE),163
128,Automatic,1995,Petrol,Internal Combustion Engine (ICE),175
129,Automatic,1995,Petrol,Internal Combustion Engine (ICE),159
130,Automatic,1995,Petrol,Internal Combustion Engine (ICE),174
131,Automatic,1995,Petrol,Internal Combustion Engine (ICE),159
132,Automatic,1995,Petrol,Internal Combustion Engine (ICE),174
133,Automatic,2891,Petrol,Internal Combustion Engine (ICE),233
134,Automatic,2891,Petrol,Internal Combustion Engine (ICE),228
135,Automatic,1995,Petrol,Internal Combustion Engine (ICE),189
136,Automatic,1995,Petrol,Internal Combustion Engine (ICE),208
137,Automatic,1995,Petrol,Internal Combustion Engine (ICE),186
138,Automatic,1995,Petrol,Internal Combustion Engine (ICE),206
139,Automatic,1995,Petrol,Internal Combustion Engine (ICE),186
140,Automatic,1995,Petrol,Internal Combustion Engine (ICE),206
141,Automatic,2143,Diesel,Internal Combustion Engine (ICE),154
142,Automatic,2143,Diesel,Internal Combustion Engine (ICE),171
143,Automatic,2143,Diesel,Internal Combustion Engine (ICE),154
144,Automatic,2143,Diesel,Internal Combustion Engine (ICE),171
145,Automatic,2891,Petrol,Internal Combustion Engine (ICE),267
146,Automatic,1798,Petrol,Internal Combustion Engine (ICE),153
147,Automatic,1798,Petrol,Internal Combustion Engine (ICE),155
148,Automatic,1798,Petrol,Internal Combustion Engine (ICE),154
149,Automatic,1798,Petrol,Internal Combustion Engine (ICE),154
150,Automatic,1798,Petrol,Internal Combustion Engine (ICE),156
151,Automatic,1798,Petrol,Internal Combustion Engine (ICE),162
152,Automatic,1798,Petrol,Internal Combustion Engine (ICE),166
153,Automatic,1798,Petrol,Internal Combustion Engine (ICE),157
154,Automatic,1798,Petrol,Internal Combustion Engine (ICE),157
155,Automatic,1798,Petrol,Internal Combustion Engine (ICE),157
156,Automatic,1798,Petrol,Internal Combustion Engine (ICE),157
157,Automatic,1798,Petrol,Internal Combustion Engine (ICE),153
158,Automatic,1798,Petrol,Internal Combustion Engine (ICE),154
159,Automatic,1798,Petrol,Internal Combustion Engine (ICE),153
160,Automatic,1798,Petrol,Internal Combustion Engine (ICE),153
161,Automatic,1798,Petrol,Internal Combustion Engine (ICE),152
162,Automatic,1798,Petrol,Internal Combustion Engine (ICE),153
163,Automatic,1798,Petrol,Internal Combustion Engine (ICE),154
164,Automatic,1798,Petrol,Internal Combustion Engine (ICE),155
165,Automatic,1798,Petrol,Internal Combustion Engine (ICE),163
166,Automatic,1798,Petrol,Internal Combustion Engine (ICE),168
167,Automatic,1799,Petrol,Internal Combustion Engine (ICE),163
168,Automatic,1799,Petrol,Internal Combustion Engine (ICE),163
169,Automatic,1798,Petrol,Internal Combustion Engine (ICE),156
170,Automatic,1798,Petrol,Internal Combustion Engine (ICE),156
171,Automatic,1798,Petrol,Internal Combustion Engine (ICE),162
172,Automatic,1798,Petrol,Internal Combustion Engine (ICE),162
173,Automatic,1798,Petrol,Internal Combustion Engine (ICE),162
174,Automatic,1798,Petrol,Internal Combustion Engine (ICE),166
175,Automatic,1798,Petrol,Internal Combustion Engine (ICE),156
176,Automatic,1798,Petrol,Internal Combustion Engine (ICE),152
177,Automatic,1798,Petrol,Internal Combustion Engine (ICE),154
178,Automatic,3982,Petrol,Internal Combustion Engine (ICE),254
179,Automatic,3982,Petrol,Internal Combustion Engine (ICE),257
180,Automatic,5204,Petrol,Internal Combustion Engine (ICE),303
181,Automatic,5204,Petrol,Internal Combustion Engine (ICE),303
182,Automatic,3982,Petrol,Internal Combustion Engine (ICE),244
183,Automatic,3982,Petrol,Internal Combustion Engine (ICE),263
184,Automatic,5204,Petrol,Internal Combustion Engine (ICE),306
185,Automatic,5204,Petrol,Internal Combustion Engine (ICE),306
186,Automatic,5204,Petrol,Internal Combustion Engine (ICE),306
187,Automatic,5204,Petrol,Internal Combustion Engine (ICE),306
188,Automatic,3982,Petrol,Internal Combustion Engine (ICE),323
189,Automatic,5935,Petrol,Internal Combustion Engine (ICE),313
190,Automatic,5204,Petrol,Internal Combustion Engine (ICE),298
191,Automatic,5935,Petrol,Internal Combustion Engine (ICE),301
192,Automatic,3982,Petrol,Internal Combustion Engine (ICE),263
193,Manual,3982,Petrol,Internal Combustion Engine (ICE),249
194,Automatic,3982,Petrol,Internal Combustion Engine (ICE),263
195,Automatic,3982,Petrol,Internal Combustion Engine (ICE),264
196,Automatic,3982,Petrol,Internal Combustion Engine (ICE),263
197,Automatic,3982,Petrol,Internal Combustion Engine (ICE),264
198,Manual,3982,Petrol,Internal Combustion Engine (ICE),276
199,Automatic,3982,Petrol,Internal Combustion Engine (ICE),263
200,Automatic,3996,Petrol,Internal Combustion Engine (ICE),302
201,Automatic,3996,Petrol,Internal Combustion Engine (ICE),294
202,Automatic,2995,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),82
203,Automatic,5950,Petrol,Internal Combustion Engine (ICE),308
204,Automatic,5950,Petrol,Internal Combustion Engine (ICE),336
205,Automatic,5950,Petrol,Internal Combustion Engine (ICE),311
206,Automatic,5950,Petrol,Internal Combustion Engine (ICE),320
207,Automatic,3996,Petrol,Internal Combustion Engine (ICE),281
208,Automatic,3996,Petrol,Internal Combustion Engine (ICE),284
209,Automatic,3996,Petrol,Internal Combustion Engine (ICE),278
210,Automatic,3996,Petrol,Internal Combustion Engine (ICE),275
211,Automatic,3996,Petrol,Internal Combustion Engine (ICE),284
212,Automatic,3996,Petrol,Internal Combustion Engine (ICE),275
213,Automatic,3996,Petrol,Internal Combustion Engine (ICE),288
214,Automatic,5950,Petrol,Internal Combustion Engine (ICE),337
215,Automatic,5950,Petrol,Internal Combustion Engine (ICE),340
216,Automatic,5950,Petrol,Internal Combustion Engine (ICE),340
217,Automatic,3996,Petrol,Internal Combustion Engine (ICE),288
218,Automatic,1995,Diesel,Internal Combustion Engine (ICE),167
219,Automatic,1995,Diesel,Internal Combustion Engine (ICE),180
220,Automatic,1998,Petrol,Internal Combustion Engine (ICE),213
221,Automatic,6162,Petrol,Internal Combustion Engine (ICE),277
222,Automatic,6162,Petrol,Internal Combustion Engine (ICE),277
223,Manual,1386,Petrol,Internal Combustion Engine (ICE),179
224,Manual,1386,Petrol,Internal Combustion Engine (ICE),169
225,Manual,1386,Petrol,Internal Combustion Engine (ICE),170
226,Manual,1386,Petrol,Internal Combustion Engine (ICE),179
227,Automatic,1386,Petrol,Internal Combustion Engine (ICE),206
228,Automatic,1386,Petrol,Internal Combustion Engine (ICE),215
229,Automatic,1386,Petrol,Internal Combustion Engine (ICE),197
230,Automatic,1386,Petrol,Internal Combustion Engine (ICE),221
231,Manual,1598,Diesel,Internal Combustion Engine (ICE),151
232,Manual,1598,Diesel,Internal Combustion Engine (ICE),159
233,Manual,1598,Diesel,Internal Combustion Engine (ICE),161
234,Manual,1598,Diesel,Internal Combustion Engine (ICE),152
235,Manual,1386,Petrol,Internal Combustion Engine (ICE),169
236,Manual,1386,Petrol,Internal Combustion Engine (ICE),179
237,Manual,1386,Petrol,Internal Combustion Engine (ICE),179
238,Manual,1386,Petrol,Internal Combustion Engine (ICE),170
239,Automatic,1386,Petrol,Internal Combustion Engine (ICE),206
240,Automatic,1386,Petrol,Internal Combustion Engine (ICE),215
241,Manual,1598,Diesel,Internal Combustion Engine (ICE),152
242,Manual,1598,Diesel,Internal Combustion Engine (ICE),161
243,Manual,1598,Diesel,Internal Combustion Engine (ICE),159
244,Manual,1598,Diesel,Internal Combustion Engine (ICE),151
245,Manual,1386,Petrol,Internal Combustion Engine (ICE),169
246,Manual,1386,Petrol,Internal Combustion Engine (ICE),170
247,Manual,1386,Petrol,Internal Combustion Engine (ICE),179
248,Manual,1598,Diesel,Internal Combustion Engine (ICE),159
249,Manual,1598,Diesel,Internal Combustion Engine (ICE),151
250,Manual,1598,Diesel,Internal Combustion Engine (ICE),161
251,Manual,1598,Diesel,Internal Combustion Engine (ICE),152
252,Manual,1386,Petrol,Internal Combustion Engine (ICE),169
253,Manual,1386,Petrol,Internal Combustion Engine (ICE),179
254,Automatic,1386,Petrol,Internal Combustion Engine (ICE),206
255,Automatic,1386,Petrol,Internal Combustion Engine (ICE),215
256,Automatic,1956,Diesel,Internal Combustion Engine (ICE),208
257,Automatic,1956,Diesel,Internal Combustion Engine (ICE),193
258,Automatic,1956,Diesel,Internal Combustion Engine (ICE),178
259,Automatic,1332,Petrol,Internal Combustion Engine (ICE),158
260,Automatic,1332,Petrol,Internal Combustion Engine (ICE),170
261,Automatic,1598,Diesel,Internal Combustion Engine (ICE),155
262,Automatic,1598,Diesel,Internal Combustion Engine (ICE),146
263,Manual,1598,Diesel,Internal Combustion Engine (ICE),145
264,Manual,1598,Diesel,Internal Combustion Engine (ICE),153
265,Automatic,1956,Diesel,Internal Combustion Engine (ICE),176
266,Automatic,1956,Diesel,Internal Combustion Engine (ICE),186
267,Automatic,1332,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),52
268,Automatic,1332,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),47
269,Manual,999,Petrol,Internal Combustion Engine (ICE),155
270,Manual,999,Petrol,Internal Combustion Engine (ICE),166
271,Automatic,1332,Petrol,Internal Combustion Engine (ICE),158
272,Automatic,1332,Petrol,Internal Combustion Engine (ICE),170
273,Manual,1598,Diesel,Internal Combustion Engine (ICE),145
274,Manual,1598,Diesel,Internal Combustion Engine (ICE),153
275,Automatic,1332,Petrol,Internal Combustion Engine (ICE),170
276,Automatic,1332,Petrol,Internal Combustion Engine (ICE),158
277,Automatic,1332,Petrol,Internal Combustion Engine (ICE),204
278,Automatic,1332,Petrol,Internal Combustion Engine (ICE),184
279,Manual,999,Petrol,Internal Combustion Engine (ICE),147
280,Manual,999,Petrol,Internal Combustion Engine (ICE),160
281,Automatic,1332,Petrol,Internal Combustion Engine (ICE),162
282,Automatic,1332,Petrol,Internal Combustion Engine (ICE),150
283,Manual,999,Petrol,Internal Combustion Engine (ICE),147
284,Manual,999,Petrol,Internal Combustion Engine (ICE),160
285,Automatic,1332,Petrol,Internal Combustion Engine (ICE),150
286,Automatic,1332,Petrol,Internal Combustion Engine (ICE),162
287,Manual,999,Petrol,Internal Combustion Engine (ICE),147
288,Automatic,999,Petrol,Internal Combustion Engine (ICE),160
289,Automatic,1332,Petrol,Internal Combustion Engine (ICE),150
290,Automatic,1332,Petrol,Internal Combustion Engine (ICE),162
291,Manual,999,Petrol,Internal Combustion Engine (ICE),147
292,Manual,999,Petrol,Internal Combustion Engine (ICE),160
293,Automatic,1332,Petrol,Internal Combustion Engine (ICE),162
294,Automatic,1332,Petrol,Internal Combustion Engine (ICE),150
295,Automatic,1332,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),53
296,Automatic,1332,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),48
297,Automatic,1995,Petrol,Internal Combustion Engine (ICE),233
298,Automatic,1995,Petrol,Internal Combustion Engine (ICE),250
299,Automatic,1995,Petrol,Internal Combustion Engine (ICE),233
300,Automatic,1995,Petrol,Internal Combustion Engine (ICE),250
301,Automatic,2143,Diesel,Internal Combustion Engine (ICE),234
302,Automatic,2143,Diesel,Internal Combustion Engine (ICE),256
303,Automatic,1995,Petrol,Internal Combustion Engine (ICE),257
304,Automatic,1995,Petrol,Internal Combustion Engine (ICE),278
305,Automatic,1995,Petrol,Internal Combustion Engine (ICE),278
306,Automatic,1995,Petrol,Internal Combustion Engine (ICE),257
307,Automatic,1995,Petrol,Internal Combustion Engine (ICE),233
308,Automatic,1995,Petrol,Internal Combustion Engine (ICE),250
309,Automatic,1995,Petrol,Internal Combustion Engine (ICE),250
310,Automatic,1995,Petrol,Internal Combustion Engine (ICE),233
311,Automatic,1995,Petrol,Internal Combustion Engine (ICE),233
312,Automatic,1995,Petrol,Internal Combustion Engine (ICE),250
313,Automatic,1995,Petrol,Internal Combustion Engine (ICE),250
314,Automatic,1995,Petrol,Internal Combustion Engine (ICE),233
315,Manual,1199,Petrol,Internal Combustion Engine (ICE),140
316,Manual,1199,Petrol,Internal Combustion Engine (ICE),167
317,Automatic,1199,Petrol,Internal Combustion Engine (ICE),146
318,Automatic,1199,Petrol,Internal Combustion Engine (ICE),173
319,Manual,1499,Diesel,Internal Combustion Engine (ICE),133
320,Manual,1499,Diesel,Internal Combustion Engine (ICE),129
321,Manual,1499,Diesel,Internal Combustion Engine (ICE),160
322,Manual,1499,Diesel,Internal Combustion Engine (ICE),154
323,Manual,1499,Diesel,Internal Combustion Engine (ICE),137
324,Manual,1499,Diesel,Internal Combustion Engine (ICE),130
325,Manual,1499,Diesel,Internal Combustion Engine (ICE),161
326,Manual,1499,Diesel,Internal Combustion Engine (ICE),154
327,Automatic,1499,Diesel,Internal Combustion Engine (ICE),141
328,Automatic,1499,Diesel,Internal Combustion Engine (ICE),163
329,Manual,998,Petrol,Internal Combustion Engine (ICE),109
330,Manual,998,Petrol,Internal Combustion Engine (ICE),117
331,Manual,1499,Diesel,Internal Combustion Engine (ICE),110
332,Manual,1499,Diesel,Internal Combustion Engine (ICE),132
333,Manual,1199,Petrol,Internal Combustion Engine (ICE),124
334,Manual,1199,Petrol,Internal Combustion Engine (ICE),154
335,Automatic,1199,Petrol,Internal Combustion Engine (ICE),135
336,Automatic,1199,Petrol,Internal Combustion Engine (ICE),158
337,Manual,1199,Petrol,Internal Combustion Engine (ICE),124
338,Manual,1199,Petrol,Internal Combustion Engine (ICE),154
339,Automatic,1199,Petrol,Internal Combustion Engine (ICE),135
340,Automatic,1199,Petrol,Internal Combustion Engine (ICE),158
341,Automatic,1499,Diesel,Internal Combustion Engine (ICE),127
342,Automatic,1499,Diesel,Internal Combustion Engine (ICE),140
343,Manual,1499,Diesel,Internal Combustion Engine (ICE),117
344,Manual,1499,Diesel,Internal Combustion Engine (ICE),131
345,Manual,1499,Diesel,Internal Combustion Engine (ICE),129
346,Manual,1499,Diesel,Internal Combustion Engine (ICE),154
347,Automatic,1499,Diesel,Internal Combustion Engine (ICE),126
348,Automatic,1499,Diesel,Internal Combustion Engine (ICE),128
349,Automatic,1499,Diesel,Internal Combustion Engine (ICE),156
350,Automatic,1499,Diesel,Internal Combustion Engine (ICE),157
351,Automatic,1997,Diesel,Internal Combustion Engine (ICE),157
352,Automatic,1997,Diesel,Internal Combustion Engine (ICE),178
353,Automatic,1598,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),29
354,Automatic,1598,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),41
355,Manual,1199,Petrol,Internal Combustion Engine (ICE),144
356,Manual,1199,Petrol,Internal Combustion Engine (ICE),136
357,Manual,1199,Petrol,Internal Combustion Engine (ICE),164
358,Manual,1199,Petrol,Internal Combustion Engine (ICE),162
359,Automatic,1199,Petrol,Internal Combustion Engine (ICE),139
360,Automatic,1199,Petrol,Internal Combustion Engine (ICE),165
361,Automatic,1598,Petrol,Internal Combustion Engine (ICE),161
362,Automatic,1598,Petrol,Internal Combustion Engine (ICE),181
363,Manual,1499,Diesel,Internal Combustion Engine (ICE),119
364,Manual,1499,Diesel,Internal Combustion Engine (ICE),140
365,Automatic,1499,Diesel,Internal Combustion Engine (ICE),128
366,Automatic,1499,Diesel,Internal Combustion Engine (ICE),157
367,Manual,1199,Petrol,Internal Combustion Engine (ICE),133
368,Manual,1199,Petrol,Internal Combustion Engine (ICE),153
369,Automatic,1199,Petrol,Internal Combustion Engine (ICE),142
370,Automatic,1199,Petrol,Internal Combustion Engine (ICE),172
371,Manual,1499,Diesel,Internal Combustion Engine (ICE),111
372,Manual,1499,Diesel,Internal Combustion Engine (ICE),105
373,Manual,1499,Diesel,Internal Combustion Engine (ICE),133
374,Manual,1499,Diesel,Internal Combustion Engine (ICE),125
375,Manual,1199,Petrol,Internal Combustion Engine (ICE),120
376,Manual,1199,Petrol,Internal Combustion Engine (ICE),133
377,Automatic,1199,Petrol,Internal Combustion Engine (ICE),126
378,Automatic,1199,Petrol,Internal Combustion Engine (ICE),141
379,Manual,1199,Petrol,Internal Combustion Engine (ICE),118
380,Manual,1199,Petrol,Internal Combustion Engine (ICE),132
381,Automatic,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),0
382,Automatic,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),0
383,Automatic,1499,Diesel,Internal Combustion Engine (ICE),114
384,Automatic,1499,Diesel,Internal Combustion Engine (ICE),130
385,Automatic,1499,Diesel,Internal Combustion Engine (ICE),115
386,Automatic,1499,Diesel,Internal Combustion Engine (ICE),125
387,Manual,1199,Petrol,Internal Combustion Engine (ICE),117
388,Manual,1199,Petrol,Internal Combustion Engine (ICE),135
389,Manual,1199,Petrol,Internal Combustion Engine (ICE),117
390,Manual,1199,Petrol,Internal Combustion Engine (ICE),130
391,Automatic,1199,Petrol,Internal Combustion Engine (ICE),127
392,Automatic,1199,Petrol,Internal Combustion Engine (ICE),143
393,Automatic,1199,Petrol,Internal Combustion Engine (ICE),127
394,Automatic,1199,Petrol,Internal Combustion Engine (ICE),139
395,Automatic,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),0
396,Automatic,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),0
397,Manual,1499,Diesel,Internal Combustion Engine (ICE),157
398,Manual,1499,Diesel,Internal Combustion Engine (ICE),159
399,Manual,1499,Diesel,Internal Combustion Engine (ICE),185
400,Manual,1499,Diesel,Internal Combustion Engine (ICE),181
401,Automatic,1997,Diesel,Internal Combustion Engine (ICE),179
402,Automatic,1997,Diesel,Internal Combustion Engine (ICE),203
403,Manual,1997,Diesel,Internal Combustion Engine (ICE),167
404,Manual,1997,Diesel,Internal Combustion Engine (ICE),195
405,Automatic,1997,Diesel,Internal Combustion Engine (ICE),170
406,Automatic,1997,Diesel,Internal Combustion Engine (ICE),199
407,Manual,1997,Diesel,Internal Combustion Engine (ICE),177
408,Manual,1997,Diesel,Internal Combustion Engine (ICE),205
409,Automatic,1997,Diesel,Internal Combustion Engine (ICE),170
410,Automatic,1997,Diesel,Internal Combustion Engine (ICE),182
411,Automatic,1997,Diesel,Internal Combustion Engine (ICE),199
412,Automatic,1997,Diesel,Internal Combustion Engine (ICE),209
413,Manual,998,Petrol,Internal Combustion Engine (ICE),141
414,Manual,998,Petrol,Internal Combustion Engine (ICE),141
415,Manual,1461,Diesel,Internal Combustion Engine (ICE),120
416,Manual,1461,Diesel,Internal Combustion Engine (ICE),121
417,Manual,1461,Diesel,Internal Combustion Engine (ICE),123
418,Manual,1461,Diesel,Internal Combustion Engine (ICE),124
419,Manual,998,Petrol,Internal Combustion Engine (ICE),142
420,Manual,998,Petrol,Internal Combustion Engine (ICE),144
421,Manual,898,Petrol,Internal Combustion Engine (ICE),142
422,Manual,898,Petrol,Internal Combustion Engine (ICE),144
423,Manual,898,Petrol,Internal Combustion Engine (ICE),146
424,Manual,898,Petrol,Internal Combustion Engine (ICE),147
425,Manual,1461,Diesel,Internal Combustion Engine (ICE),120
426,Manual,1461,Diesel,Internal Combustion Engine (ICE),120
427,Manual,998,Petrol,Internal Combustion Engine (ICE),142
428,Manual,998,Petrol,Internal Combustion Engine (ICE),143
429,Manual,898,Petrol,Internal Combustion Engine (ICE),142
430,Manual,898,Petrol,Internal Combustion Engine (ICE),143
431,Manual,1461,Diesel,Internal Combustion Engine (ICE),123
432,Manual,1461,Diesel,Internal Combustion Engine (ICE),124
433,Manual,898,Petrol,Internal Combustion Engine (ICE),146
434,Manual,898,Petrol,Internal Combustion Engine (ICE),147
435,Manual,998,Petrol,Internal Combustion Engine (ICE),136
