ProductKey	Product	Standard Cost	Color	Subcategory	Category	Background Color Format	Font Color Format
227	Long-Sleeve Logo Jersey, S	$29.08	Multi	Jerseys	Clothing	#BC8F8F	#000000
228	Long-Sleeve Logo Jersey, S	$38.49	Multi	Jerseys	Clothing	#BC8F8F	#000000
229	Long-Sleeve Logo Jersey, M	$31.72	Multi	Jerseys	Clothing	#BC8F8F	#000000
230	Long-Sleeve Logo Jersey, M	$29.08	Multi	Jerseys	Clothing	#BC8F8F	#000000
231	Long-Sleeve Logo Jersey, M	$38.49	Multi	Jerseys	Clothing	#BC8F8F	#000000
232	Long-Sleeve Logo Jersey, L	$31.72	Multi	Jerseys	Clothing	#BC8F8F	#000000
233	Long-Sleeve Logo Jersey, L	$29.08	Multi	Jerseys	Clothing	#BC8F8F	#000000
234	Long-Sleeve Logo Jersey, L	$38.49	Multi	Jerseys	Clothing	#BC8F8F	#000000
235	Long-Sleeve Logo Jersey, XL	$31.72	Multi	Jerseys	Clothing	#BC8F8F	#000000
236	Long-Sleeve Logo Jersey, XL	$29.08	Multi	Jerseys	Clothing	#BC8F8F	#000000
237	Long-Sleeve Logo Jersey, XL	$38.49	Multi	Jerseys	Clothing	#BC8F8F	#000000
238	HL Road Frame - Red, 62	$747.97	Red	Road Frames	Components	#FF0000	#FFFFFF
239	HL Road Frame - Red, 62	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
240	HL Road Frame - Red, 62	$868.63	Red	Road Frames	Components	#FF0000	#FFFFFF
241	HL Road Frame - Red, 44	$747.97	Red	Road Frames	Components	#FF0000	#FFFFFF
242	HL Road Frame - Red, 44	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
243	HL Road Frame - Red, 44	$868.63	Red	Road Frames	Components	#FF0000	#FFFFFF
244	HL Road Frame - Red, 48	$747.97	Red	Road Frames	Components	#FF0000	#FFFFFF
245	HL Road Frame - Red, 48	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
246	HL Road Frame - Red, 48	$868.63	Red	Road Frames	Components	#FF0000	#FFFFFF
247	HL Road Frame - Red, 52	$747.97	Red	Road Frames	Components	#FF0000	#FFFFFF
248	HL Road Frame - Red, 52	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
249	HL Road Frame - Red, 52	$868.63	Red	Road Frames	Components	#FF0000	#FFFFFF
250	HL Road Frame - Red, 56	$747.97	Red	Road Frames	Components	#FF0000	#FFFFFF
251	HL Road Frame - Red, 56	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
252	HL Road Frame - Red, 56	$868.63	Red	Road Frames	Components	#FF0000	#FFFFFF
262	LL Road Frame - Red, 44	$181.49	Red	Road Frames	Components	#FF0000	#FFFFFF
263	LL Road Frame - Red, 44	$187.16	Red	Road Frames	Components	#FF0000	#FFFFFF
264	LL Road Frame - Red, 48	$181.49	Red	Road Frames	Components	#FF0000	#FFFFFF
265	LL Road Frame - Red, 48	$187.16	Red	Road Frames	Components	#FF0000	#FFFFFF
266	LL Road Frame - Red, 52	$181.49	Red	Road Frames	Components	#FF0000	#FFFFFF
267	LL Road Frame - Red, 52	$187.16	Red	Road Frames	Components	#FF0000	#FFFFFF
268	LL Road Frame - Red, 58	$181.49	Red	Road Frames	Components	#FF0000	#FFFFFF
269	LL Road Frame - Red, 58	$187.16	Red	Road Frames	Components	#FF0000	#FFFFFF
270	LL Road Frame - Red, 60	$181.49	Red	Road Frames	Components	#FF0000	#FFFFFF
271	LL Road Frame - Red, 60	$187.16	Red	Road Frames	Components	#FF0000	#FFFFFF
272	LL Road Frame - Red, 62	$181.49	Red	Road Frames	Components	#FF0000	#FFFFFF
273	LL Road Frame - Red, 62	$187.16	Red	Road Frames	Components	#FF0000	#FFFFFF
274	ML Road Frame - Red, 44	$352.14	Red	Road Frames	Components	#FF0000	#FFFFFF
275	ML Road Frame - Red, 48	$352.14	Red	Road Frames	Components	#FF0000	#FFFFFF
276	ML Road Frame - Red, 52	$352.14	Red	Road Frames	Components	#FF0000	#FFFFFF
277	ML Road Frame - Red, 58	$352.14	Red	Road Frames	Components	#FF0000	#FFFFFF
278	ML Road Frame - Red, 60	$352.14	Red	Road Frames	Components	#FF0000	#FFFFFF
288	HL Mountain Frame - Silver, 42	$623.84	Silver	Mountain Frames	Components	#C0C0C0	#000000
289	HL Mountain Frame - Silver, 42	$660.91	Silver	Mountain Frames	Components	#C0C0C0	#000000
290	HL Mountain Frame - Silver, 42	$747.2	Silver	Mountain Frames	Components	#C0C0C0	#000000
291	HL Mountain Frame - Silver, 44	$706.81	Silver	Mountain Frames	Components	#C0C0C0	#000000
292	HL Mountain Frame - Silver, 48	$706.81	Silver	Mountain Frames	Components	#C0C0C0	#000000
293	HL Mountain Frame - Silver, 46	$623.84	Silver	Mountain Frames	Components	#C0C0C0	#000000
294	HL Mountain Frame - Silver, 46	$660.91	Silver	Mountain Frames	Components	#C0C0C0	#000000
295	HL Mountain Frame - Silver, 46	$747.2	Silver	Mountain Frames	Components	#C0C0C0	#000000
307	HL Mountain Frame - Silver, 38	$623.84	Silver	Mountain Frames	Components	#C0C0C0	#000000
308	HL Mountain Frame - Silver, 38	$660.91	Silver	Mountain Frames	Components	#C0C0C0	#000000
309	HL Mountain Frame - Silver, 38	$747.2	Silver	Mountain Frames	Components	#C0C0C0	#000000
310	Road-150 Red, 62	$2,171.29	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
311	Road-150 Red, 44	$2,171.29	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
312	Road-150 Red, 48	$2,171.29	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
313	Road-150 Red, 52	$2,171.29	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
314	Road-150 Red, 56	$2,171.29	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
315	Road-450 Red, 58	$884.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
316	Road-450 Red, 60	$884.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
317	Road-450 Red, 44	$884.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
318	Road-450 Red, 48	$884.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
319	Road-450 Red, 52	$884.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
320	Road-650 Red, 58	$413.15	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
321	Road-650 Red, 58	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
322	Road-650 Red, 60	$413.15	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
323	Road-650 Red, 60	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
324	Road-650 Red, 62	$413.15	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
325	Road-650 Red, 62	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
326	Road-650 Red, 44	$413.15	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
327	Road-650 Red, 44	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
328	Road-650 Red, 48	$413.15	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
329	Road-650 Red, 48	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
330	Road-650 Red, 52	$413.15	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
331	Road-650 Red, 52	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
344	Mountain-100 Silver, 38	$1,912.15	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
345	Mountain-100 Silver, 42	$1,912.15	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
346	Mountain-100 Silver, 44	$1,912.15	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
347	Mountain-100 Silver, 48	$1,912.15	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
352	Mountain-200 Silver, 38	$1,117.86	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
353	Mountain-200 Silver, 38	$1,265.62	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
354	Mountain-200 Silver, 42	$1,117.86	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
355	Mountain-200 Silver, 42	$1,265.62	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
356	Mountain-200 Silver, 46	$1,117.86	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
357	Mountain-200 Silver, 46	$1,265.62	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
368	Road-250 Red, 44	$1,518.79	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
369	Road-250 Red, 48	$1,518.79	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
370	Road-250 Red, 52	$1,518.79	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
371	Road-250 Red, 58	$1,320.68	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
372	Road-250 Red, 58	$1,554.95	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
381	Road-550-W Yellow, 38	$605.65	Yellow	Road Bikes	Bikes	#FFFF00	#000000
382	Road-550-W Yellow, 38	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
383	Road-550-W Yellow, 40	$605.65	Yellow	Road Bikes	Bikes	#FFFF00	#000000
384	Road-550-W Yellow, 40	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
385	Road-550-W Yellow, 42	$605.65	Yellow	Road Bikes	Bikes	#FFFF00	#000000
386	Road-550-W Yellow, 42	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
387	Road-550-W Yellow, 44	$605.65	Yellow	Road Bikes	Bikes	#FFFF00	#000000
388	Road-550-W Yellow, 44	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
389	Road-550-W Yellow, 48	$605.65	Yellow	Road Bikes	Bikes	#FFFF00	#000000
390	Road-550-W Yellow, 48	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
391	LL Fork	$65.81	NA	Forks	Components	#DCDCDC	#000000
392	ML Fork	$77.92	NA	Forks	Components	#DCDCDC	#000000
393	HL Fork	$101.89	NA	Forks	Components	#DCDCDC	#000000
394	LL Headset	$15.18	NA	Headsets	Components	#DCDCDC	#000000
395	ML Headset	$45.42	NA	Headsets	Components	#DCDCDC	#000000
396	HL Headset	$55.38	NA	Headsets	Components	#DCDCDC	#000000
397	LL Mountain Handlebars	$17.98	NA	Handlebars	Components	#DCDCDC	#000000
398	LL Mountain Handlebars	$19.78	NA	Handlebars	Components	#DCDCDC	#000000
399	ML Mountain Handlebars	$24.99	NA	Handlebars	Components	#DCDCDC	#000000
400	ML Mountain Handlebars	$27.49	NA	Handlebars	Components	#DCDCDC	#000000
401	HL Mountain Handlebars	$48.55	NA	Handlebars	Components	#DCDCDC	#000000
402	HL Mountain Handlebars	$53.4	NA	Handlebars	Components	#DCDCDC	#000000
403	LL Road Handlebars	$17.98	NA	Handlebars	Components	#DCDCDC	#000000
404	LL Road Handlebars	$19.78	NA	Handlebars	Components	#DCDCDC	#000000
405	ML Road Handlebars	$24.99	NA	Handlebars	Components	#DCDCDC	#000000
406	ML Road Handlebars	$27.49	NA	Handlebars	Components	#DCDCDC	#000000
407	HL Road Handlebars	$48.55	NA	Handlebars	Components	#DCDCDC	#000000
408	HL Road Handlebars	$53.4	NA	Handlebars	Components	#DCDCDC	#000000
417	ML Road Frame-W - Yellow, 38	$300.12	Yellow	Road Frames	Components	#FFFF00	#000000
418	ML Road Frame-W - Yellow, 38	$360.94	Yellow	Road Frames	Components	#FFFF00	#000000
429	ML Road Frame-W - Yellow, 40	$300.12	Yellow	Road Frames	Components	#FFFF00	#000000
430	ML Road Frame-W - Yellow, 40	$360.94	Yellow	Road Frames	Components	#FFFF00	#000000
431	ML Road Frame-W - Yellow, 42	$300.12	Yellow	Road Frames	Components	#FFFF00	#000000
432	ML Road Frame-W - Yellow, 42	$360.94	Yellow	Road Frames	Components	#FFFF00	#000000
433	ML Road Frame-W - Yellow, 44	$300.12	Yellow	Road Frames	Components	#FFFF00	#000000
434	ML Road Frame-W - Yellow, 44	$360.94	Yellow	Road Frames	Components	#FFFF00	#000000
435	ML Road Frame-W - Yellow, 48	$300.12	Yellow	Road Frames	Components	#FFFF00	#000000
436	ML Road Frame-W - Yellow, 48	$360.94	Yellow	Road Frames	Components	#FFFF00	#000000
446	Touring-Panniers, Large	$51.56	Grey	Panniers	Accessories	#808080	#FFFFFF
447	Cable Lock	$10.31	NA	Locks	Accessories	#DCDCDC	#000000
448	Minipump	$8.25	NA	Pumps	Accessories	#DCDCDC	#000000
449	Mountain Pump	$10.31	NA	Pumps	Accessories	#DCDCDC	#000000
450	Taillights - Battery-Powered	$5.77	NA	Lights	Accessories	#DCDCDC	#000000
451	Headlights - Dual-Beam	$14.43	NA	Lights	Accessories	#DCDCDC	#000000
452	Headlights - Weatherproof	$18.56	NA	Lights	Accessories	#DCDCDC	#000000
459	Men's Bib-Shorts, S	$37.12	Multi	Bib-Shorts	Clothing	#BC8F8F	#000000
460	Men's Bib-Shorts, M	$37.12	Multi	Bib-Shorts	Clothing	#BC8F8F	#000000
461	Men's Bib-Shorts, L	$37.12	Multi	Bib-Shorts	Clothing	#BC8F8F	#000000
471	Classic Vest, S	$23.75	Blue	Vests	Clothing	#0000FF	#FFFFFF
472	Classic Vest, M	$23.75	Blue	Vests	Clothing	#0000FF	#FFFFFF
473	Classic Vest, L	$23.75	Blue	Vests	Clothing	#0000FF	#FFFFFF
477	Water Bottle - 30 oz.	$1.87	NA	Bottles and Cages	Accessories	#DCDCDC	#000000
478	Mountain Bottle Cage	$3.74	NA	Bottles and Cages	Accessories	#DCDCDC	#000000
479	Road Bottle Cage	$3.36	NA	Bottles and Cages	Accessories	#DCDCDC	#000000
480	Patch Kit/8 Patches	$0.86	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
481	Racing Socks, M	$3.36	White	Socks	Clothing	#FFFFFF	#000000
482	Racing Socks, L	$3.36	White	Socks	Clothing	#FFFFFF	#000000
483	Hitch Rack - 4-Bike	$44.88	NA	Bike Racks	Accessories	#DCDCDC	#000000
484	Bike Wash - Dissolver	$2.97	NA	Cleaners	Accessories	#DCDCDC	#000000
485	Fender Set - Mountain	$8.22	NA	Fenders	Accessories	#DCDCDC	#000000
486	All-Purpose Bike Stand	$59.47	NA	Bike Stands	Accessories	#DCDCDC	#000000
487	Hydration Pack - 70 oz.	$20.57	Silver	Hydration Packs	Accessories	#C0C0C0	#000000
488	Short-Sleeve Classic Jersey, S	$41.57	Yellow	Jerseys	Clothing	#FFFF00	#000000
489	Short-Sleeve Classic Jersey, M	$41.57	Yellow	Jerseys	Clothing	#FFFF00	#000000
